CCTV,#genre#
CCTV1,http://1.180.2.93:9901/tsfile/live/1020_1.m3u8
CCTV1,http://1.180.2.93:9901/tsfile/live/1020_1.m3u8
CCTV1,http://go.bkpcp.top/mg/cctv1
CCTV1,http://49.235.65.250:600/miguHD.php?id=CCTV1
CCTV2,http://1.180.2.93:9901/tsfile/live/1035_1.m3u8
CCTV2,http://go.bkpcp.top/mg/cctv2
CCTV2,http://49.235.65.250:600/miguHD.php?id=CCTV2
CCTV3,http://1.180.2.93:9901/tsfile/live/1054_1.m3u8
CCTV3,http://go.bkpcp.top/mg/cctv3
CCTV3,http://49.235.65.250:600/miguHD.php?id=CCTV3
CCTV4,http://1.180.2.93:9901/tsfile/live/1063_1.m3u8
CCTV4,http://go.bkpcp.top/mg/cctv4
CCTV4,http://49.235.65.250:600/miguHD.php?id=CCTV4
CCTV5,http://go.bkpcp.top/mg/cctv5
CCTV5,http://49.235.65.250:600/miguHD.php?id=CCTV5
CCTV5+,http://1.180.2.93:9901/tsfile/live/1027_1.m3u8
CCTV5+,http://49.235.65.250:600/miguHD.php?id=CCTV5p
CCTV6,http://1.180.2.93:9901/tsfile/live/1064_1.m3u8
CCTV6,http://go.bkpcp.top/mg/cctv6
CCTV6,http://49.235.65.250:600/miguHD.php?id=CCTV6
CCTV7,http://go.bkpcp.top/mg/cctv7
CCTV7,http://49.235.65.250:600/miguHD.php?id=CCTV7
CCTV8,http://1.180.2.93:9901/tsfile/live/1065_1.m3u8
CCTV8,http://go.bkpcp.top/mg/cctv8
CCTV8,http://49.235.65.250:600/miguHD.php?id=CCTV8
CCTV9,http://1.180.2.93:9901/tsfile/live/1066_1.m3u8
CCTV9,http://go.bkpcp.top/mg/cctv9
CCTV9,http://49.235.65.250:600/miguHD.php?id=CCTV9
CCTV10,http://go.bkpcp.top/mg/cctv10
CCTV10,http://49.235.65.250:600/miguHD.php?id=CCTV10
CCTV11,http://go.bkpcp.top/mg/cctv11
CCTV11,http://49.235.65.250:600/miguHD.php?id=CCTV11
CCTV12,http://go.bkpcp.top/mg/cctv12
CCTV12,http://49.235.65.250:600/miguHD.php?id=CCTV12
CCTV13,http://go.bkpcp.top/mg/cctv13
CCTV13,http://49.235.65.250:600/miguHD.php?id=CCTV13
CCTV14,http://go.bkpcp.top/mg/cctv14
CCTV14,http://49.235.65.250:600/miguHD.php?id=CCTV14
CCTV15,http://go.bkpcp.top/mg/cctv15
CCTV15,http://49.235.65.250:600/miguHD.php?id=CCTV15
CCTV16,http://go.bkpcp.top/mg/cctv16
CCTV17,http://49.235.65.250:600/miguHD.php?id=CCTV17
CCTV17,http://go.bkpcp.top/mg/cctv17


卫视,#genre#
深圳卫视4K超高清,http://ikuai.haleeyo.cn:9003/udp/239.77.1.14:5146
广东卫视4K超高清,http://ikuai.haleeyo.cn:9003/udp/239.77.0.27:5146
北京卫视4K超高清,http://ikuai.haleeyo.cn:9003/udp/239.77.0.2:5146
北京纪实科教,http://1.180.2.93:9901/tsfile/live/1061_1.m3u8
北京卫视,http://go.bkpcp.top/mg/bjws
北京卫视,http://49.235.65.250:600/beijing/beijing.php?id=bjws4k
北京卫视,http://1.180.2.93:9901/tsfile/live/0122_1.m3u8
湖南卫视,http://go.bkpcp.top/mg/hunws
金鹰纪实,http://1.180.2.93:9901/tsfile/live/1028_1.m3u8
江苏卫视,http://go.bkpcp.top/mg/jsws
浙江卫视,http://go.bkpcp.top/mg/zjws
湖北卫视,http://go.bkpcp.top/mg/hubws
湖北卫视,http://1.180.2.93:9901/tsfile/live/0132_1.m3u8
山东卫视,http://go.bkpcp.top/mg/sdws
辽宁卫视,http://1.180.2.93:9901/tsfile/live/0121_1.m3u8
黑龙江卫视,http://go.bkpcp.top/mg/hljws
黑龙江卫视,http://1.180.2.93:9901/tsfile/live/0143_1.m3u8
江西卫视,http://go.bkpcp.top/mg/jxws
江西卫视,http://1.180.2.93:9901/tsfile/live/0138_1.m3u8
广东卫视,http://go.bkpcp.top/mg/gdws
深圳卫视,http://go.bkpcp.top/mg/szws
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
河南卫视,http://go.bkpcp.top/mg/hnws
广西卫视,http://1.180.2.93:9901/tsfile/live/0113_1.m3u8



少儿频道,#genre#
CCTV14少儿,http://fjcm-2117.live.iptv.darwinchow.com/PLTV/88888888/224/3221225933/index.m3u8
精品,#genre#
CHC动作电影,http://113.195.172.192:808/hls/112/index.m3u8
CGTV,http://113.195.172.192:808/hls/114/index.m3u8
江西影视,http://113.195.172.192:808/hls/4/index.m3u8

















